transaction_id,date,country,region,customer_name,customer_type,sales_rep,product_category,product,quantity,unit_price,unit_cost,revenue,cost,gross_profit,payment_status,sales_channel
TXN-000023,2025-12-17,Tanzania,Tanzania,Customer 011,SME,Rep 02,Fiber Equipment,Optical Transceiver,5,167.53,134.7,837.65,673.5,164.15,Paid,Direct
TXN-000024,2024-10-31,Kenya,Kenya,Customer 031,Enterprise,Rep 08,Switches,Core Switch,7,4523.26,2708.84,31662.82,18961.88,12700.94,Paid,Partner
TXN-000025,2025-04-07,Kenya,Kenya,Customer 001,Government,Rep 09,Firewalls,Enterprise Firewall,3,5750.72,2891.22,17252.16,8673.66,8578.5,Overdue,Partner
TXN-000026,2024-10-24,Tanzania,Tanzania,Customer 008,SME,Rep 03,Wireless,Wireless Access Point,3,430.2,251.81,1290.6,755.43,535.17,Paid,Direct
TXN-000027,2025-06-15,Tanzania,Tanzania,Customer 012,Enterprise,Rep 10,Fiber Equipment,Optical Transceiver,1,165.47,126.97,165.47,126.97,38.5,Paid,Partner
TXN-000028,2024-06-01,Kenya,Kenya,Customer 051,SME,Rep 03,Fiber Equipment,Optical Transceiver,2,167.85,130.45,335.7,260.9,74.8,Paid,Direct
TXN-000029,2024-04-03,Uganda,Uganda,Customer 050,SME,Rep 05,Fiber Equipment,Optical Transceiver,6,166.83,126.1,1000.98,756.6,244.38,Paid,Direct
TXN-000030,2024-03-10,Rwanda,Rwanda,Customer 026,Enterprise,Rep 05,Firewalls,Enterprise Firewall,6,5637.41,2881.93,33824.46,17291.58,16532.88,Overdue,Partner
TXN-000031,2024-04-09,Kenya,Kenya,Customer 001,SME,Rep 10,Wireless,Wireless Access Point,3,462.14,253.91,1386.42,761.73,624.69,Paid,Direct
TXN-000032,2024-01-27,Uganda,Uganda,Customer 020,SME,Rep 07,Services,Network Support,6,1416.59,481.25,8499.54,2887.5,5612.04,Paid,Partner
TXN-000033,2025-01-03,Rwanda,Rwanda,Customer 001,ISP,Rep 08,Fiber Equipment,Fiber OLT,4,3935.23,2481.01,15740.92,9924.04,5816.88,Pending,Partner
TXN-000034,2024-10-27,Kenya,Kenya,Customer 048,ISP,Rep 05,Routers,Carrier Router,5,6676.56,4283.91,33382.8,21419.55,11963.25,Paid,Online
TXN-000035,2024-04-25,Uganda,Uganda,Customer 011,Enterprise,Rep 02,Routers,Carrier Router,2,6461.9,4246.61,12923.8,8493.22,4430.58,Paid,Direct
TXN-000036,2024-04-22,Kenya,Kenya,Customer 074,Enterprise,Rep 01,Switches,Core Switch,4,4428.65,2739.95,17714.6,10959.8,6754.8,Paid,Direct
TXN-000037,2024-06-29,Uganda,Uganda,Customer 043,Enterprise,Rep 04,Fiber Equipment,Fiber OLT,8,3833.1,2500.12,30664.8,20000.96,10663.84,Paid,Partner
TXN-000038,2025-08-23,Kenya,Kenya,Customer 001,Enterprise,Rep 05,Routers,Enterprise Router,2,1947.56,1191.0,3895.12,2382.0,1513.12,Paid,Partner
TXN-000039,2024-09-29,Kenya,Kenya,Customer 077,Enterprise,Rep 05,Firewalls,Enterprise Firewall,6,4919.16,3007.53,29514.96,18045.18,11469.78,Paid,Partner
TXN-000040,2024-04-29,South Sudan,South Sudan,Customer 068,Enterprise,Rep 05,Routers,Carrier Router,3,6930.12,4172.19,20790.36,12516.57,8273.79,Paid,Direct
TXN-000041,2024-12-09,Rwanda,Rwanda,Customer 019,ISP,Rep 09,Wireless,Wireless Access Point,3,400.51,258.59,1201.53,775.77,425.76,Paid,Partner
TXN-000042,2025-04-11,Tanzania,Tanzania,Customer 030,ISP,Rep 06,Fiber Equipment,Optical Transceiver,9,181.75,125.39,1635.75,1128.51,507.24,Paid,Online
TXN-000043,2024-03-17,Tanzania,Tanzania,Customer 001,ISP,Rep 04,Routers,Enterprise Router,2,1741.78,1161.32,3483.56,2322.64,1160.92,Paid,Direct
TXN-000044,2024-05-04,Tanzania,Tanzania,Customer 071,SME,Rep 05,Fiber Equipment,Optical Transceiver,8,183.9,126.93,1471.2,1015.44,455.76,Overdue,Online
TXN-000045,2024-04-22,Tanzania,Tanzania,Customer 001,Government,Rep 02,Switches,Managed Switch,2,1060.98,577.97,2121.96,1155.94,966.02,Overdue,Direct
TXN-000046,2024-02-24,Kenya,Kenya,Customer 022,Enterprise,Rep 10,Fiber Equipment,Fiber OLT,2,3460.71,2498.41,6921.42,4996.82,1924.6,Paid,Partner
TXN-000047,2025-04-25,Rwanda,Rwanda,Customer 031,Government,Rep 01,Fiber Equipment,Optical Transceiver,3,182.38,127.22,547.14,381.66,165.48,Paid,Direct
TXN-000048,2025-05-26,Tanzania,Tanzania,Customer 042,ISP,Rep 04,Services,Network Support,4,1642.56,484.38,6570.24,1937.52,4632.72,Paid,Direct
TXN-000049,2024-11-24,Rwanda,Rwanda,Customer 063,SME,Rep 05,Fiber Equipment,Optical Transceiver,5,198.25,124.96,991.25,624.8,366.45,Paid,Direct
TXN-000050,2024-03-01,Kenya,Kenya,Customer 078,ISP,Rep 07,Routers,Enterprise Router,5,1975.21,1119.54,9876.05,5597.7,4278.35,Paid,Online
TXN-000051,2024-08-11,Tanzania,Tanzania,Customer 003,Enterprise,Rep 03,Firewalls,Enterprise Firewall,2,5680.22,2934.97,11360.44,5869.94,5490.5,Paid,Partner
TXN-000052,2025-03-03,Uganda,Uganda,Customer 048,Enterprise,Rep 07,Fiber Equipment,Fiber OLT,5,3965.84,2718.39,19829.2,13591.95,6237.25,Paid,Direct
TXN-000053,2024-04-12,South Sudan,South Sudan,Customer 001,ISP,Rep 08,Routers,Enterprise Router,1,1800.23,1151.85,1800.23,1151.85,648.38,Paid,Direct
TXN-000054,2024-08-16,Kenya,Kenya,Customer 001,ISP,Rep 07,Services,Network Support,3,1386.98,518.14,4160.94,1554.42,2606.52,Paid,Direct
TXN-000055,2024-07-19,Kenya,Kenya,Customer 038,Enterprise,Rep 09,Firewalls,Enterprise Firewall,3,5461.65,2918.48,16384.95,8755.44,7629.51,Paid,Online
TXN-000056,2024-12-18,Uganda,Uganda,Customer 001,Government,Rep 10,Routers,Enterprise Router,1,1983.85,1093.56,1983.85,1093.56,890.29,Paid,Direct
TXN-000057,2024-05-17,Tanzania,Tanzania,Customer 046,ISP,Rep 05,Routers,Enterprise Router,1,1957.93,1163.7,1957.93,1163.7,794.23,Paid,Online
TXN-000058,2024-04-28,Kenya,Kenya,Customer 037,SME,Rep 09,Wireless,Wireless Access Point,6,416.26,245.44,2497.56,1472.64,1024.92,Paid,Direct
TXN-000059,2024-02-27,Kenya,Kenya,Customer 059,ISP,Rep 01,Wireless,Wireless Access Point,4,391.28,254.83,1565.12,1019.32,545.8,Paid,Online
TXN-000060,2024-05-06,Kenya,Kenya,Customer 080,ISP,Rep 02,Firewalls,Enterprise Firewall,5,4737.79,3028.37,23688.95,15141.85,8547.1,Paid,Partner
TXN-000061,2024-08-03,Kenya,Kenya,Customer 019,Enterprise,Rep 08,Routers,Carrier Router,5,6660.72,4308.54,33303.6,21542.7,11760.9,Paid,Direct
TXN-000062,2025-12-19,Kenya,Kenya,Customer 042,SME,Rep 07,Switches,Core Switch,4,4668.47,2613.18,18673.88,10452.72,8221.16,Pending,Online
TXN-000063,2024-05-25,Kenya,Kenya,Customer 059,Enterprise,Rep 09,Fiber Equipment,Fiber OLT,6,4175.72,2695.05,25054.32,16170.3,8884.02,Paid,Direct
TXN-000064,2025-08-06,Tanzania,Tanzania,Customer 079,ISP,Rep 06,Routers,Carrier Router,6,6710.54,4382.86,40263.24,26297.16,13966.08,Paid,Direct
TXN-000065,2024-12-07,Kenya,Kenya,Customer 014,ISP,Rep 04,Switches,Managed Switch,3,1012.48,602.1,3037.44,1806.3,1231.14,Paid,Direct
TXN-000066,2024-07-22,Uganda,Uganda,Customer 001,Enterprise,Rep 03,Firewalls,Enterprise Firewall,4,4968.79,2938.43,19875.16,11753.72,8121.44,Paid,Online
TXN-000067,2025-07-18,South Sudan,South Sudan,Customer 048,SME,Rep 01,Services,Network Support,3,1629.11,505.84,4887.33,1517.52,3369.81,Paid,Direct
TXN-000068,2024-02-29,Kenya,Kenya,Customer 042,SME,Rep 08,Switches,Managed Switch,5,1051.78,558.0,5258.9,2790.0,2468.9,Pending,Direct
TXN-000069,2024-10-08,Rwanda,Rwanda,Customer 005,ISP,Rep 05,Switches,Managed Switch,6,906.16,560.35,5436.96,3362.1,2074.86,Overdue,Online
TXN-000070,2024-01-03,Uganda,Uganda,Customer 032,Enterprise,Rep 06,Fiber Equipment,Optical Transceiver,2,199.71,124.78,399.42,249.56,149.86,Overdue,Direct
TXN-000071,2024-09-29,Kenya,Kenya,Customer 001,Enterprise,Rep 07,Firewalls,Enterprise Firewall,4,5138.12,3009.57,20552.48,12038.28,8514.2,Overdue,Partner
TXN-000072,2024-05-16,Tanzania,Tanzania,Customer 013,Enterprise,Rep 07,Fiber Equipment,Fiber OLT,1,3706.25,2676.56,3706.25,2676.56,1029.69,Paid,Partner
TXN-000073,2025-03-31,Kenya,Kenya,Customer 036,SME,Rep 09,Firewalls,Enterprise Firewall,1,5816.41,2934.27,5816.41,2934.27,2882.14,Paid,Direct
TXN-000074,2024-02-15,Kenya,Kenya,Customer 032,Government,Rep 10,Firewalls,Enterprise Firewall,7,4882.76,3053.43,34179.32,21374.01,12805.31,Paid,Direct
TXN-000075,2025-09-10,Rwanda,Rwanda,Customer 080,Government,Rep 02,Switches,Managed Switch,8,1044.58,575.32,8356.64,4602.56,3754.08,Paid,Direct
TXN-000076,2025-04-18,Uganda,Uganda,Customer 008,ISP,Rep 02,Fiber Equipment,Fiber OLT,2,3692.99,2521.43,7385.98,5042.86,2343.12,Pending,Direct
TXN-000077,2025-07-22,Tanzania,Tanzania,Customer 001,ISP,Rep 03,Fiber Equipment,Fiber OLT,5,4216.64,2838.9,21083.2,14194.5,6888.7,Paid,Partner
TXN-000078,2024-02-16,South Sudan,South Sudan,Customer 044,Enterprise,Rep 01,Switches,Managed Switch,7,957.37,587.67,6701.59,4113.69,2587.9,Paid,Direct
TXN-000079,2024-10-21,South Sudan,South Sudan,Customer 002,SME,Rep 08,Services,Network Support,6,1435.08,504.3,8610.48,3025.8,5584.68,Paid,Direct
TXN-000080,2025-04-25,Rwanda,Rwanda,Customer 001,ISP,Rep 03,Fiber Equipment,Fiber OLT,5,3746.09,2729.64,18730.45,13648.2,5082.25,Paid,Direct
TXN-000081,2024-05-20,Uganda,Uganda,Customer 001,SME,Rep 10,Switches,Managed Switch,4,878.38,599.29,3513.52,2397.16,1116.36,Paid,Direct
TXN-000082,2025-01-05,Uganda,Uganda,Customer 001,Government,Rep 10,Firewalls,Enterprise Firewall,5,5207.62,2977.43,26038.1,14887.15,11150.95,Paid,Partner
TXN-000083,2025-07-11,Tanzania,Tanzania,Customer 075,SME,Rep 05,Switches,Core Switch,5,4592.26,2590.95,22961.3,12954.75,10006.55,Paid,Direct
TXN-000084,2024-07-24,Kenya,Kenya,Customer 069,ISP,Rep 08,Routers,Enterprise Router,3,1678.16,1191.49,5034.48,3574.47,1460.01,Pending,Direct
TXN-000085,2024-11-28,Kenya,Kenya,Customer 048,Enterprise,Rep 03,Fiber Equipment,Fiber OLT,5,3594.21,2665.39,17971.05,13326.95,4644.1,Paid,Direct
TXN-000086,2024-09-03,Kenya,Kenya,Customer 056,SME,Rep 10,Routers,Carrier Router,3,7101.37,4399.75,21304.11,13199.25,8104.86,Pending,Direct
TXN-000087,2025-03-27,Tanzania,Tanzania,Customer 001,Enterprise,Rep 06,Routers,Carrier Router,3,5920.73,4242.65,17762.19,12727.95,5034.24,Paid,Direct
TXN-000088,2024-07-29,Tanzania,Tanzania,Customer 013,SME,Rep 04,Switches,Core Switch,4,3841.06,2565.29,15364.24,10261.16,5103.08,Paid,Online
TXN-000089,2025-07-19,Kenya,Kenya,Customer 067,SME,Rep 05,Wireless,Wireless Access Point,2,432.13,242.39,864.26,484.78,379.48,Paid,Direct
TXN-000090,2025-10-14,Kenya,Kenya,Customer 001,Enterprise,Rep 10,Routers,Enterprise Router,4,1761.52,1122.95,7046.08,4491.8,2554.28,Paid,Online
TXN-000091,2025-03-22,South Sudan,South Sudan,Customer 001,ISP,Rep 02,Fiber Equipment,Optical Transceiver,7,177.89,122.8,1245.23,859.6,385.63,Overdue,Partner
TXN-000092,2025-10-31,Kenya,Kenya,Customer 043,SME,Rep 05,Fiber Equipment,Fiber OLT,4,3688.43,2721.85,14753.72,10887.4,3866.32,Paid,Online
TXN-000093,2024-01-23,Kenya,Kenya,Customer 065,Enterprise,Rep 07,Wireless,Wireless Access Point,6,438.87,251.36,2633.22,1508.16,1125.06,Paid,Direct
TXN-000094,2024-02-21,Kenya,Kenya,Customer 078,ISP,Rep 04,Switches,Core Switch,5,4331.99,2745.62,21659.95,13728.1,7931.85,Paid,Online
TXN-000095,2025-09-11,South Sudan,South Sudan,Customer 001,Enterprise,Rep 02,Switches,Core Switch,2,3804.52,2765.73,7609.04,5531.46,2077.58,Paid,Direct
TXN-000096,2025-09-14,Kenya,Kenya,Customer 027,SME,Rep 03,Services,Network Support,3,1605.72,499.83,4817.16,1499.49,3317.67,Overdue,Online
TXN-000097,2025-01-27,Rwanda,Rwanda,Customer 048,ISP,Rep 02,Services,Network Support,6,1490.24,493.5,8941.44,2961.0,5980.44,Paid,Partner
TXN-000098,2024-11-01,Rwanda,Rwanda,Customer 025,Enterprise,Rep 06,Fiber Equipment,Optical Transceiver,1,180.36,127.38,180.36,127.38,52.98,Paid,Direct
TXN-000099,2024-04-29,Uganda,Uganda,Customer 037,ISP,Rep 06,Wireless,Wireless Access Point,2,409.8,239.92,819.6,479.84,339.76,Paid,Partner
TXN-000100,2025-11-23,South Sudan,South Sudan,Customer 053,ISP,Rep 05,Wireless,Wireless Access Point,3,427.4,262.34,1282.2,787.02,495.18,Paid,Partner
TXN-000101,2025-12-01,Kenya,Kenya,Customer 004,SME,Rep 08,Switches,Core Switch,2,4551.27,2607.05,9102.54,5214.1,3888.44,Pending,Partner
TXN-000102,2025-01-26,Kenya,Kenya,Customer 006,Enterprise,Rep 06,Services,Network Support,4,1636.21,510.39,6544.84,2041.56,4503.28,Overdue,Partner
TXN-000103,2025-08-29,South Sudan,South Sudan,Customer 064,ISP,Rep 08,Services,Network Support,7,1479.2,479.49,10354.4,3356.43,6997.97,Paid,Direct
TXN-000104,2024-02-26,South Sudan,South Sudan,Customer 001,Government,Rep 01,Routers,Enterprise Router,6,1639.45,1110.16,9836.7,6660.96,3175.74,Paid,Direct
TXN-000105,2024-04-18,Rwanda,Rwanda,Customer 064,Enterprise,Rep 03,Wireless,Wireless Access Point,5,398.88,248.45,1994.4,1242.25,752.15,Overdue,Direct
TXN-000106,2024-08-26,Uganda,Uganda,Customer 015,ISP,Rep 07,Fiber Equipment,Optical Transceiver,4,199.09,121.1,796.36,484.4,311.96,Paid,Direct
TXN-000107,2025-01-23,Uganda,Uganda,Customer 008,Enterprise,Rep 05,Firewalls,Enterprise Firewall,2,5358.34,2918.39,10716.68,5836.78,4879.9,Paid,Direct
TXN-000108,2025-03-13,Uganda,Uganda,Customer 058,SME,Rep 01,Services,Network Support,8,1571.71,523.03,12573.68,4184.24,8389.44,Paid,Direct
TXN-000109,2025-04-04,Uganda,Uganda,Customer 043,Government,Rep 03,Fiber Equipment,Fiber OLT,3,4044.72,2702.62,12134.16,8107.86,4026.3,Paid,Direct
TXN-000110,2024-03-13,Kenya,Kenya,Customer 027,ISP,Rep 06,Services,Network Support,5,1398.65,488.67,6993.25,2443.35,4549.9,Paid,Direct
TXN-000111,2025-05-31,Tanzania,Tanzania,Customer 020,ISP,Rep 08,Firewalls,Enterprise Firewall,6,5214.8,2967.62,31288.8,17805.72,13483.08,Paid,Partner
TXN-000112,2024-05-07,Kenya,Kenya,Customer 057,ISP,Rep 04,Switches,Managed Switch,6,1063.76,586.58,6382.56,3519.48,2863.08,Pending,Online
TXN-000113,2025-01-03,Uganda,Uganda,Customer 001,ISP,Rep 01,Fiber Equipment,Fiber OLT,6,3608.25,2676.18,21649.5,16057.08,5592.42,Overdue,Online
TXN-000114,2025-09-11,Rwanda,Rwanda,Customer 033,Enterprise,Rep 07,Routers,Carrier Router,5,6129.12,4014.34,30645.6,20071.7,10573.9,Paid,Partner
TXN-000115,2025-11-24,Tanzania,Tanzania,Customer 015,ISP,Rep 06,Fiber Equipment,Optical Transceiver,5,172.94,141.27,864.7,706.35,158.35,Paid,Direct
TXN-000116,2024-07-12,Kenya,Kenya,Customer 062,SME,Rep 09,Wireless,Wireless Access Point,2,430.78,262.35,861.56,524.7,336.86,Paid,Direct
TXN-000117,2024-01-29,Rwanda,Rwanda,Customer 032,ISP,Rep 08,Routers,Carrier Router,2,6436.37,4191.36,12872.74,8382.72,4490.02,Paid,Partner
TXN-000118,2025-09-21,South Sudan,South Sudan,Customer 033,Enterprise,Rep 02,Wireless,Wireless Access Point,3,421.26,242.51,1263.78,727.53,536.25,Paid,Direct
TXN-000119,2024-05-15,Tanzania,Tanzania,Customer 065,SME,Rep 10,Firewalls,Enterprise Firewall,2,5759.71,2970.61,11519.42,5941.22,5578.2,Pending,Direct
TXN-000120,2024-06-13,Kenya,Kenya,Customer 052,ISP,Rep 01,Fiber Equipment,Fiber OLT,5,4145.17,2549.51,20725.85,12747.55,7978.3,Paid,Direct
TXN-000121,2025-03-28,Tanzania,Tanzania,Customer 059,SME,Rep 07,Routers,Enterprise Router,6,1714.38,1150.33,10286.28,6901.98,3384.3,Paid,Direct
TXN-000122,2025-01-04,Tanzania,Tanzania,Customer 020,SME,Rep 01,Fiber Equipment,Fiber OLT,8,3953.55,2593.22,31628.4,20745.76,10882.64,Paid,Direct
TXN-000123,2025-12-22,Rwanda,Rwanda,Customer 064,Enterprise,Rep 04,Firewalls,Enterprise Firewall,8,4931.86,3063.58,39454.88,24508.64,14946.24,Paid,Direct
TXN-000124,2025-02-15,Kenya,Kenya,Customer 003,SME,Rep 08,Fiber Equipment,Optical Transceiver,3,196.32,128.08,588.96,384.24,204.72,Paid,Direct
TXN-000125,2025-10-09,Tanzania,Tanzania,Customer 001,ISP,Rep 03,Fiber Equipment,Fiber OLT,8,4162.42,2895.54,33299.36,23164.32,10135.04,Paid,Partner
TXN-000126,2024-04-03,South Sudan,South Sudan,Customer 067,SME,Rep 04,Routers,Carrier Router,2,6021.76,4019.95,12043.52,8039.9,4003.62,Overdue,Direct
TXN-000127,2024-01-23,Rwanda,Rwanda,Customer 003,Enterprise,Rep 07,Routers,Carrier Router,6,6092.69,4324.56,36556.14,25947.36,10608.78,Paid,Direct
TXN-000128,2025-07-06,Rwanda,Rwanda,Customer 052,Enterprise,Rep 09,Switches,Managed Switch,3,998.98,603.77,2996.94,1811.31,1185.63,Paid,Partner
TXN-000129,2024-06-30,Uganda,Uganda,Customer 013,Government,Rep 07,Switches,Managed Switch,4,948.39,574.72,3793.56,2298.88,1494.68,Paid,Direct
TXN-000130,2024-08-29,Tanzania,Tanzania,Customer 038,ISP,Rep 06,Switches,Core Switch,7,4461.46,2584.4,31230.22,18090.8,13139.42,Paid,Direct
TXN-000131,2025-01-11,Uganda,Uganda,Customer 042,Enterprise,Rep 05,Services,Network Support,2,1350.19,496.6,2700.38,993.2,1707.18,Paid,Partner
TXN-000132,2025-06-02,Uganda,Uganda,Customer 078,ISP,Rep 02,Routers,Enterprise Router,5,1978.69,1150.02,9893.45,5750.1,4143.35,Paid,Partner
TXN-000133,2024-09-20,Kenya,Kenya,Customer 055,Enterprise,Rep 03,Services,Network Support,8,1624.84,490.16,12998.72,3921.28,9077.44,Paid,Online
TXN-000134,2024-11-24,Rwanda,Rwanda,Customer 004,SME,Rep 04,Services,Network Support,6,1459.12,481.36,8754.72,2888.16,5866.56,Paid,Online
TXN-000135,2025-12-21,Kenya,Kenya,Customer 015,SME,Rep 01,Firewalls,Enterprise Firewall,3,4754.3,2866.48,14262.9,8599.44,5663.46,Paid,Direct
TXN-000136,2024-01-17,Kenya,Kenya,Customer 054,Government,Rep 05,Fiber Equipment,Fiber OLT,3,3569.31,2705.02,10707.93,8115.06,2592.87,Paid,Direct
TXN-000137,2025-10-17,Tanzania,Tanzania,Customer 077,Government,Rep 10,Routers,Carrier Router,4,5915.73,4137.93,23662.92,16551.72,7111.2,Paid,Direct
TXN-000138,2024-08-25,Tanzania,Tanzania,Customer 042,Government,Rep 09,Switches,Core Switch,4,3819.32,2625.37,15277.28,10501.48,4775.8,Paid,Direct
TXN-000139,2024-03-01,Rwanda,Rwanda,Customer 001,SME,Rep 06,Routers,Carrier Router,1,7172.7,4389.81,7172.7,4389.81,2782.89,Paid,Online
TXN-000140,2024-01-09,Rwanda,Rwanda,Customer 001,SME,Rep 06,Routers,Carrier Router,5,6907.87,4021.51,34539.35,20107.55,14431.8,Paid,Partner
TXN-000141,2025-01-17,Uganda,Uganda,Customer 011,Enterprise,Rep 08,Firewalls,Enterprise Firewall,2,5210.73,3132.77,10421.46,6265.54,4155.92,Paid,Direct
TXN-000142,2025-11-23,Kenya,Kenya,Customer 048,SME,Rep 07,Fiber Equipment,Fiber OLT,5,3983.63,2763.0,19918.15,13815.0,6103.15,Paid,Direct
TXN-000143,2025-07-05,Kenya,Kenya,Customer 059,Enterprise,Rep 06,Fiber Equipment,Optical Transceiver,6,167.61,130.31,1005.66,781.86,223.8,Paid,Direct
TXN-000144,2025-01-31,Kenya,Kenya,Customer 044,Enterprise,Rep 06,Switches,Managed Switch,1,983.41,572.68,983.41,572.68,410.73,Paid,Direct
TXN-000145,2024-10-29,Kenya,Kenya,Customer 062,Enterprise,Rep 09,Routers,Enterprise Router,3,1823.99,1132.16,5471.97,3396.48,2075.49,Paid,Direct
TXN-000146,2024-03-12,South Sudan,South Sudan,Customer 020,ISP,Rep 08,Fiber Equipment,Fiber OLT,5,3791.97,2612.22,18959.85,13061.1,5898.75,Paid,Direct
TXN-000147,2024-03-08,Kenya,Kenya,Customer 041,Enterprise,Rep 04,Services,Network Support,4,1661.99,488.29,6647.96,1953.16,4694.8,Paid,Direct
TXN-000148,2025-02-04,South Sudan,South Sudan,Customer 078,Enterprise,Rep 03,Switches,Core Switch,5,4270.39,2828.66,21351.95,14143.3,7208.65,Paid,Direct
TXN-000149,2024-05-26,Kenya,Kenya,Customer 037,ISP,Rep 02,Routers,Enterprise Router,4,1804.74,1134.05,7218.96,4536.2,2682.76,Pending,Partner
TXN-000150,2024-07-13,Rwanda,Rwanda,Customer 001,Enterprise,Rep 03,Routers,Carrier Router,2,6918.37,4044.92,13836.74,8089.84,5746.9,Overdue,Partner
TXN-000151,2025-08-12,Tanzania,Tanzania,Customer 080,Government,Rep 01,Fiber Equipment,Optical Transceiver,3,186.28,128.44,558.84,385.32,173.52,Paid,Direct
TXN-000152,2025-11-09,Kenya,Kenya,Customer 001,ISP,Rep 03,Switches,Core Switch,3,4093.24,2653.54,12279.72,7960.62,4319.1,Paid,Direct
TXN-000153,2024-06-14,Tanzania,Tanzania,Customer 004,SME,Rep 06,Routers,Carrier Router,9,7178.82,4029.62,64609.38,36266.58,28342.8,Overdue,Partner
TXN-000154,2024-01-27,Tanzania,Tanzania,Customer 060,ISP,Rep 08,Routers,Enterprise Router,3,1784.01,1097.38,5352.03,3292.14,2059.89,Paid,Direct
TXN-000155,2025-12-10,Uganda,Uganda,Customer 069,SME,Rep 09,Switches,Core Switch,3,4017.81,2700.72,12053.43,8102.16,3951.27,Paid,Direct
TXN-000156,2025-03-20,Kenya,Kenya,Customer 054,SME,Rep 10,Wireless,Wireless Access Point,5,453.6,252.1,2268.0,1260.5,1007.5,Paid,Online
TXN-000157,2025-11-18,Uganda,Uganda,Customer 001,Government,Rep 01,Routers,Carrier Router,2,6582.51,4098.59,13165.02,8197.18,4967.84,Paid,Online
